

GRMZM6G990931	Zm00001d032787		syntelog	MaizeGDB
GRMZM6G986387	Zm00001d054067		syntelog	MaizeGDB
GRMZM6G986025	Zm00001d035356		syntelog	MaizeGDB
GRMZM6G961377	Zm00001d009196		syntelog	MaizeGDB
GRMZM6G945840	Zm00001d043280		syntelog	MaizeGDB
GRMZM6G929553	Zm00001d009811		syntelog	MaizeGDB
GRMZM6G910544	Zm00001d048998		syntelog	MaizeGDB
GRMZM6G910222	Zm00001d053979		syntelog	MaizeGDB
GRMZM6G907181	Zm00001d031338		syntelog	MaizeGDB
GRMZM6G868472	Zm00001d006337		syntelog	MaizeGDB
GRMZM6G847892	Zm00001d007514		syntelog	MaizeGDB
GRMZM6G829919	Zm00001d031937		syntelog	MaizeGDB
GRMZM6G820695	Zm00001d038960		syntelog	MaizeGDB
GRMZM6G818567	Zm00001d048193		syntelog	MaizeGDB
GRMZM6G815941	Zm00001d002511		syntelog	MaizeGDB
GRMZM6G798998	Zm00001d026089		syntelog	MaizeGDB
GRMZM6G791392	Zm00001d009509		syntelog	MaizeGDB
GRMZM6G790713	Zm00001d036177		syntelog	MaizeGDB
GRMZM6G768049	Zm00001d042725		syntelog	MaizeGDB
GRMZM6G743306	Zm00001d038959		syntelog	MaizeGDB
GRMZM6G741620	Zm00001d010220		syntelog	MaizeGDB
GRMZM6G741210	Zm00001d042840		syntelog	MaizeGDB
GRMZM6G735128	Zm00001d047187		syntelog	MaizeGDB
GRMZM6G729818	Zm00001d006309		syntelog	MaizeGDB
GRMZM6G711429	Zm00001d015251		syntelog	MaizeGDB
GRMZM6G704070	Zm00001d039184		syntelog	MaizeGDB
GRMZM6G700127	Zm00001d019287		syntelog	MaizeGDB
GRMZM6G631561	Zm00001d019915		syntelog	MaizeGDB
GRMZM6G608324	Zm00001d018552		syntelog	MaizeGDB
GRMZM6G587571	Zm00001d034525		syntelog	MaizeGDB
GRMZM6G578655	Zm00001d054065		syntelog	MaizeGDB
GRMZM6G577626	Zm00001d041135		syntelog	MaizeGDB
GRMZM6G548844	Zm00001d047217		syntelog	MaizeGDB
GRMZM6G534004	Zm00001d033823		syntelog	MaizeGDB
GRMZM6G522911	Zm00001d022248		syntelog	MaizeGDB
GRMZM6G513881	Zm00001d049080		syntelog	MaizeGDB
GRMZM6G508461	Zm00001d006588		syntelog	MaizeGDB
GRMZM6G474234	Zm00001d046005		syntelog	MaizeGDB
GRMZM6G438921	Zm00001d037199		syntelog	MaizeGDB
GRMZM6G404540	Zm00001d039549		syntelog	MaizeGDB
GRMZM6G399977	Zm00001d029663		syntelog	MaizeGDB
GRMZM6G332242	Zm00001d032453		syntelog	MaizeGDB
GRMZM6G310687	Zm00001d048060		syntelog	MaizeGDB
GRMZM6G303298	Zm00001d002642		syntelog	MaizeGDB
GRMZM6G287292	Zm00001d039439		syntelog	MaizeGDB
GRMZM6G274034	Zm00001d031309		syntelog	MaizeGDB
GRMZM6G220418	Zm00001d017753		syntelog	MaizeGDB
GRMZM6G205247,GRMZM2G037630	Zm00001d029489	merged	syntelog	MaizeGDB
GRMZM6G188781	Zm00001d042193		syntelog	MaizeGDB
GRMZM6G133375	Zm00001d019248		syntelog	MaizeGDB
GRMZM6G117112	Zm00001d044841		syntelog	MaizeGDB
GRMZM6G112751	Zm00001d037225		syntelog	MaizeGDB
GRMZM6G107785	Zm00001d045205		syntelog	MaizeGDB
GRMZM6G101378	Zm00001d027517		syntelog	MaizeGDB
GRMZM6G056015	Zm00001d043735		syntelog	MaizeGDB
GRMZM6G039492	Zm00001d034181		syntelog	MaizeGDB
GRMZM6G029838	Zm00001d021037		syntelog	MaizeGDB
GRMZM6G007923	Zm00001d023760		syntelog	MaizeGDB
GRMZM5G899985	Zm00001d016235		syntelog	MaizeGDB
GRMZM5G899944	Zm00001d032542		syntelog	MaizeGDB
GRMZM5G899865	Zm00001d033729		syntelog	MaizeGDB
GRMZM5G899851	Zm00001d013098		syntelog	MaizeGDB
GRMZM5G899836	GRMZM5G838396		syntelog	MaizeGDB
GRMZM5G899787	Zm00001d017930		syntelog	MaizeGDB
GRMZM5G899714	Zm00001d006803		syntelog	MaizeGDB
GRMZM5G899656	Zm00001d038859		syntelog	MaizeGDB
GRMZM5G899512	Zm00001d005984		syntelog	MaizeGDB
GRMZM5G899506	Zm00001d050500		syntelog	MaizeGDB
GRMZM5G899476	Zm00001d021272		syntelog	MaizeGDB
GRMZM5G899452	GRMZM5G899452		syntelog	MaizeGDB
GRMZM5G899428	Zm00001d029815		syntelog	MaizeGDB
GRMZM5G899390	Zm00001d037601		syntelog	MaizeGDB
GRMZM5G899379	Zm00001d010132		syntelog	MaizeGDB
GRMZM5G899349	Zm00001d044673		syntelog	MaizeGDB
GRMZM5G899300	Zm00001d045389		syntelog	MaizeGDB
GRMZM5G899202	Zm00001d028476		syntelog	MaizeGDB
GRMZM5G899168	Zm00001d043307		syntelog	MaizeGDB
GRMZM5G899151	Zm00001d020491		syntelog	MaizeGDB
GRMZM5G899149	Zm00001d012992		syntelog	MaizeGDB
GRMZM5G899123	Zm00001d045293		syntelog	MaizeGDB
GRMZM5G899080	Zm00001d002137		syntelog	MaizeGDB
GRMZM5G898915	Zm00001d034824		syntelog	MaizeGDB
GRMZM5G898898	Zm00001d017954		syntelog	MaizeGDB
GRMZM5G898867	Zm00001d010033		syntelog	MaizeGDB
GRMZM5G898792	Zm00001d026378		syntelog	MaizeGDB
GRMZM5G898772	GRMZM5G898772		syntelog	MaizeGDB
GRMZM5G898768	Zm00001d022141		syntelog	MaizeGDB
GRMZM5G898740	Zm00001d029208		syntelog	MaizeGDB
GRMZM5G898735	Zm00001d003913		syntelog	MaizeGDB
GRMZM5G898647	GRMZM5G898647		syntelog	MaizeGDB
GRMZM5G898597	Zm00001d043367		syntelog	MaizeGDB
GRMZM5G898471	Zm00001d047726		syntelog	MaizeGDB
GRMZM5G898466	GRMZM5G898466		syntelog	MaizeGDB
GRMZM5G898442	GRMZM5G898442		syntelog	MaizeGDB
GRMZM5G898371	Zm00001d019320		syntelog	MaizeGDB
GRMZM5G898330	Zm00001d036574		syntelog	MaizeGDB
GRMZM5G898314	Zm00001d012092		syntelog	MaizeGDB
GRMZM5G898305	Zm00001d021960		syntelog	MaizeGDB
GRMZM5G898290	Zm00001d050893		syntelog	MaizeGDB
GRMZM5G898274	Zm00001d037909		syntelog	MaizeGDB
GRMZM5G898141	Zm00001d004851		syntelog	MaizeGDB
GRMZM5G897988	Zm00001d012361		syntelog	MaizeGDB
GRMZM5G897980	Zm00001d047324		syntelog	MaizeGDB
GRMZM5G897976	Zm00001d013056		syntelog	MaizeGDB
GRMZM5G897958	Zm00001d037544		syntelog	MaizeGDB
GRMZM5G897944	Zm00001d036683		syntelog	MaizeGDB
GRMZM5G897926	Zm00001d043325		syntelog	MaizeGDB
GRMZM5G897825	Zm00001d050684		syntelog	MaizeGDB
GRMZM5G897818	Zm00001d013095		syntelog	MaizeGDB
GRMZM5G897776	Zm00001d002256		syntelog	MaizeGDB
GRMZM5G897740	Zm00001d018459		syntelog	MaizeGDB
GRMZM5G897673	Zm00001d038963		syntelog	MaizeGDB
GRMZM5G897626	GRMZM5G897626		syntelog	MaizeGDB
GRMZM5G897615	GRMZM5G897615		syntelog	MaizeGDB
GRMZM5G897592	Zm00001d021824		syntelog	MaizeGDB
GRMZM5G897546	Zm00001d021823		syntelog	MaizeGDB
GRMZM5G897473	Zm00001d021452		syntelog	MaizeGDB
GRMZM5G897342	Zm00001d012458		syntelog	MaizeGDB
GRMZM5G897224	Zm00001d018226		syntelog	MaizeGDB
GRMZM5G897067	Zm00001d015310		syntelog	MaizeGDB
GRMZM5G896983	Zm00001d026386		syntelog	MaizeGDB
GRMZM5G896916	Zm00001d048098		syntelog	MaizeGDB
GRMZM5G896883	Zm00001d049823		syntelog	MaizeGDB
GRMZM5G896859	Zm00001d025868		syntelog	MaizeGDB
GRMZM5G896834	Zm00001d028050		syntelog	MaizeGDB
GRMZM5G896756	Zm00001d035313		syntelog	MaizeGDB
GRMZM5G896748	Zm00001d026080		syntelog	MaizeGDB
GRMZM5G896731	Zm00001d029138		syntelog	MaizeGDB
GRMZM5G896690	Zm00001d044782		syntelog	MaizeGDB
GRMZM5G896683	Zm00001d007140		syntelog	MaizeGDB
GRMZM5G896604	Zm00001d047675		syntelog	MaizeGDB
GRMZM5G896568	Zm00001d012685		syntelog	MaizeGDB
GRMZM5G896560	Zm00001d019541		syntelog	MaizeGDB
GRMZM5G896369	Zm00001d048701		syntelog	MaizeGDB
GRMZM5G896337	Zm00001d016972		syntelog	MaizeGDB
GRMZM5G896114	Zm00001d019484		syntelog	MaizeGDB
GRMZM5G895991	Zm00001d028921		syntelog	MaizeGDB
