"FrameID"	"Accession1"	"Accession2"
BC-1.8.3		
BC-1.7.3		
BC-2.3.9		
BC-2.3.7		
BC-1.7.33		
BC-1.5.2		
BC-1.6.3.1		
G-5541	"NIL"	"NIL"
BC-3.3.1		
GDQC-114576	"Zm00001d050107_T001.1"	"GRMZM2G082087_T01"
ORFs		
BC-1.6.6		
BC-5.5.1		
BC-5.5.6		
BC-1.1.5		
BC-4.3.D		
GDQC-114541	"Zm00001d023536_T002.1"	"GRMZM2G419806_T01"
GDQC-112401	"Zm00001d038163_T001.1"	"GRMZM2G306345_T01"
GDQC-111967	"Zm00001d038163_T001.1"	"GRMZM2G306345_T03"
BC-1.3.2		
G-41	"Zm00001d046170_T001.1"	"GRMZM2G083841_T01"
G-9857	"NIL"	"NIL"
BC-5.5.4		
Phantom-Genes		
BC-1.5.1.13		
BC-1.6.1		
BC-1.8.1		
BC-4.4.A		
BC-6.5		
GDQC-114725	"NIL"	"NIL"
BC-8.2		
BC-1.7.14		
BC-1.2.4		
BC-4.2.A		
BC-3.1.3		
BC-2.3.3		
G-11275	"NIL"	"NIL"
GDQC-108139	"Zm00001d018429_T001.1"	"GRMZM2G178074_T01"
BC-4.3		
BC-1.5.1.4		
BC-8.1		
BC-3.1.3.4		
BC-5.6		
BC-2.3		
BC-1.2.3		
Pseudo-Genes		
BC-1.5.2.1		
BC-1.5.2.3		
BC-4.9.B		
BC-1.7.32		
BC-1.7.27		
BC-1.5.3.6		
BC-1.5.2.2		
BC-1.5.2.4		
BC-4.3.A		
BC-1.3.3		
BC-1.7.28		
BC-3.1.2.4.4		
BC-5.6.1		
BC-3		
BC-3.3.2		
BC-3.1.2.4.2		
BC-3.1.2.3		
BC-1.5.3.9		
BC-2.3.8		
BC-6.6		
BC-1.2.1		
BC-2.2.4		
BC-2.2.3		
BC-2.2		
BC-2.2.6		
BC-1.7.20		
BC-1.5.1.11		
BC-3.1.2.1		
G-10478	"NIL"	"NIL"
BC-5.8		
BC-5.5.3		
BC-3.3.3		
BC-4.S		
BC-1.7.10		
BC-1.8.2		
BC-6.3		
BC-1.3.4		
BC-5.5.2		
BC-4.3.A.4		
BC-4.3.A.1		
BC-4.3.A.2		
BC-4.3.A.3		
BC-4.3.A.5		
BC-1.5.3.8		
BC-1.6.15.2		
BC-1.5.1.8		
BC-1.7.30		
G-9834	"NIL"	"NIL"
G-9837	"NIL"	"NIL"
G-11369	"NIL"	"NIL"
G-12279	"NIL"	"NIL"
BC-2.2.2		
BC-3.1.2		
BC-2.3.2		
BC-3.1.3.1		
BC-4		
BC-4.9.A		
BC-8.3		
BC-3.4		
BC-3.5		
BC-2.2.5		
Truncated-Genes		
BC-1.5.1.15		
BC-2.3.6		
BC-3.1.2.4.3		
BC-3.1		
BC-1.5.1.14		
BC-1.7.1		
Unclassified-Genes		
Unconserved-ORFs		
BC-3.1.4		
GDQC-114727	"NIL"	"NIL"
GDQC-114728	"NIL"	"NIL"
GDQC-111218	"Zm00001d008700_T002.1"	"GRMZM2G127308_T01"
G-10708	"NIL"	"NIL"
G-12030	"NIL"	"NIL"
G-12034	"NIL"	"NIL"
GDQC-7860	"Zm00001d000001_T002.1"	
GDQC-9865	"Zm00001d000002_T002.1"	
GDQC-13970	"Zm00001d000011_T019.1"	
GDQC-12618	"Zm00001d000016_T001.1"	
GDQC-7919	"Zm00001d000020_T001.1"	
GDQC-9446	"Zm00001d000029_T003.1"	
GDQC-12902	"Zm00001d000037_T001.1"	
GDQC-10293	"Zm00001d000053_T001.1"	
GDQC-13780	"Zm00001d000060_T001.1"	
GDQC-8906	"Zm00001d000061_T001.1"	
GDQC-13104	"Zm00001d000064_T001.1"	
GDQC-13495	"Zm00001d000095_T001.1"	
GDQC-11640	"Zm00001d000099_T003.1"	
GDQC-12744	"Zm00001d000107_T001.1"	
GDQC-11799	"Zm00001d000113_T001.1"	
GDQC-11555	"Zm00001d000116_T001.1"	
GDQC-11592	"Zm00001d000117_T001.1"	
GDQC-8201	"Zm00001d000118_T001.1"	
GDQC-10709	"Zm00001d000133_T008.1"	
GDQC-14185	"Zm00001d000153_T011.1"	
GDQC-7728	"Zm00001d000156_T001.1"	
GDQC-11984	"Zm00001d000157_T001.1"	
GDQC-13116	"Zm00001d000163_T001.1"	
GDQC-13352	"Zm00001d000164_T002.1"	
GDQC-11791	"Zm00001d000174_T001.1"	
GDQC-14859	"Zm00001d000180_T001.1"	
GDQC-13728	"Zm00001d000203_T001.1"	
GDQC-12422	"Zm00001d000216_T001.1"	
GDQC-8100	"Zm00001d000227_T001.1"	
GDQC-10542	"Zm00001d000228_T011.1"	
GDQC-12078	"Zm00001d000260_T001.1"	
GDQC-8202	"Zm00001d000270_T001.1"	
GDQC-12161	"Zm00001d000272_T001.1"	
GDQC-14879	"Zm00001d000277_T001.1"	
GDQC-14718	"Zm00001d000279_T001.1"	
GDQC-14544	"Zm00001d000294_T001.1"	
GDQC-7697	"Zm00001d000296_T001.1"	
GDQC-11655	"Zm00001d000305_T003.1"	
ME1	"Zm00001d000316_T001.1"	
GDQC-11805	"Zm00001d000325_T001.1"	
GDQC-9663	"Zm00001d000337_T001.1"	
GDQC-8807	"Zm00001d000344_T001.1"	
GDQC-13694	"Zm00001d000355_T002.1"	
GDQC-11387	"Zm00001d000357_T002.1"	
GDQC-13213	"Zm00001d000371_T001.1"	
GDQC-13573	"Zm00001d000373_T001.1"	
GDQC-10375	"Zm00001d000377_T001.1"	
GDQC-13556	"Zm00001d000383_T001.1"	
GDQC-11222	"Zm00001d000384_T001.1"	
GDQC-13396	"Zm00001d000389_T001.1"	
GDQC-14226	"Zm00001d000406_T001.1"	
GDQC-12805	"Zm00001d000413_T001.1"	
GDQC-8747	"Zm00001d000417_T001.1"	
GDQC-10461	"Zm00001d000419_T001.1"	
GDQC-8011	"Zm00001d000433_T001.1"	
GDQC-11263	"Zm00001d000438_T001.1"	
GDQC-10925	"Zm00001d000445_T001.1"	
GDQC-12404	"Zm00001d000452_T015.1"	
GDQC-11807	"Zm00001d001763_T001.1"	
GDQC-14862	"Zm00001d001789_T002.1"	
GDQC-8150	"Zm00001d001791_T001.1"	
GDQC-8231	"Zm00001d001800_T001.1"	
GDQC-8165	"Zm00001d001819_T001.1"	
GDQC-11741	"Zm00001d001820_T001.1"	
GDQC-9430	"Zm00001d001823_T002.1"	
GDQC-9669	"Zm00001d001831_T001.1"	
GDQC-10185	"Zm00001d001836_T001.1"	
GDQC-13296	"Zm00001d001846_T001.1"	
GDQC-14321	"Zm00001d001849_T001.1"	
GDQC-12668	"Zm00001d001850_T001.1"	
GDQC-13452	"Zm00001d001860_T001.1"	
GDQC-10797	"Zm00001d001873_T001.1"	
GDQC-10467	"Zm00001d001881_T001.1"	
GDQC-10621	"Zm00001d001883_T008.1"	
GDQC-11080	"Zm00001d001885_T001.1"	
GDQC-7902	"Zm00001d001887_T001.1"	
GDQC-12171	"Zm00001d001896_T002.1"	
GDQC-10947	"Zm00001d001902_T002.1"	
GDQC-7637	"Zm00001d001903_T003.1"	
GDQC-13150	"Zm00001d001908_T001.1"	
GDQC-13700	"Zm00001d001909_T002.1"	
GDQC-14320	"Zm00001d001924_T001.1"	
GDQC-13468	"Zm00001d001927_T001.1"	
GDQC-14256	"Zm00001d001941_T001.1"	
GDQC-14631	"Zm00001d001943_T001.1"	
GDQC-14864	"Zm00001d001944_T001.1"	
GDQC-13874	"Zm00001d001957_T001.1"	
